102 -876 93.84 -805.92
-93 -865 -85.56 -795.8
-174 -835 -160.08 -768.2
-266 -778 -244.72 -715.76
-342 -713 -314.64 -655.96
-377 -678 -346.84 -623.76
-429 -605 -394.68 -556.6
-442 -570 -406.64 -524.4
-445 -545 -409.4 -501.4
-378 -680 -347.76 -625.6
-287 -776 -264.04 -713.92
-103 -862 -94.76 -793.04
18 -870 16.56 -800.4
90 -850 82.8 -782.0
136 -833 125.12 -766.36
179 -805 164.68 -740.6
327 -602 300.84 -553.84
355 -368 326.6 -338.56
328 -297 301.76 -273.24
255 -139 234.6 -127.88
195 -81 179.4 -74.52
87 -34 80.04 -31.28
-50 11 -46.0 10.12
-113 10 -103.96 9.2
-182 13 -167.44 11.96
-212 1 -195.04 0.92
-324 -106 -298.08 -97.52
-446 -305 -410.32 -280.6
-476 -421 -437.92 -387.32
-472 -544 -434.24 -500.48
-436 -625 -401.12 -575.0
-278 -816 -255.76 -750.72
-262 -823 -241.04 -757.16
-260 -828 -239.2 -761.76
-244 -839 -224.48 -771.88
-245 -839 -225.4 -771.88
-333 -754 -306.36 -693.68
-433 -531 -398.36 -488.52
-439 -441 -403.88 -405.72
-404 -245 -371.68 -225.4
-305 -113 -280.6 -103.96
-220 -49 -202.4 -45.08
0 6 0.0 5.52
108 -15 99.36 -13.8
302 -139 277.84 -127.88
396 -250 364.32 -230.0
425 -311 391.0 -286.12
435 -439 400.2 -403.88
407 -569 374.44 -523.48
242 -791 222.64 -727.72
135 -833 124.2 -766.36
77 -855 70.84 -786.6
35 -852 32.2 -783.84
6 -841 5.52 -773.72
-144 -818 -132.48 -752.56
-264 -759 -242.88 -698.28
-293 -751 -269.56 -690.92
-342 -724 -314.64 -666.08
-376 -678 -345.92 -623.76
-412 -616 -379.04 -566.72
-417 -596 -383.64 -548.32
-404 -631 -371.68 -580.52
-267 -796 -245.64 -732.32
-162 -854 -149.04 -785.68
55 -871 50.6 -801.32
134 -845 123.28 -777.4
145 -840 133.4 -772.8
248 -747 228.16 -687.24
312 -627 287.04 -576.84
309 -394 284.28 -362.48
243 -211 223.56 -194.12
190 -130 174.8 -119.6
